,localizacao,tamanho_quartos,valor
0, Jardim Cruzeiro - Feira de Santana - Bahia , 41 m² construídos | 2 quartos ,122.000
1, Várzea - Sete Lagoas - Minas Gerais , 38 m² construídos | 2 quartos ,128.000
2, Morada Do Sol - Americana - São Paulo , 42 m² construídos | 2 quartos ,1.352.357.229
3, Vivendas Do Lago - Sorocaba - São Paulo , 40 m² construídos | 2 quartos ,1.351.568.403
4, Parque Aeroporto - Macaé - Rio de Janeiro , 40 m² construídos | 2 quartos ,1.351.560.109
5, Valparaíso I - Valparaíso de Goiás - Goiás , 42 m² construídos | 2 quartos ,141.900
6, Morada Dos Nobres - Araçatuba - São Paulo , 39 m² construídos | 2 quartos ,121.802
7, Parque São Vicente - Mauá - São Paulo , 36 - 43 m² construídos | 1 - 2 quartos ,183.893
8, Parque Glória I - Catanduva - São Paulo , 41 m² construídos | 2 quartos ,132.984
9, Jardim Bela Vista - Mogi Mirim - São Paulo , 42 m² construídos | 2 quartos ,143.900
10, Jardim Soto - Catanduva - São Paulo , 41 m² construídos | 2 quartos ,139.617
11, Cabo Luis Gomes de Quevedo SN - Praia De Maranduba - Ubatuba - São Paulo , 120 m² construídos | 2 quartos ,120
12, rua dona gertrudes jordão 257 - Jardim Vivan - São Paulo Zona Norte - São Paulo , 58 m² construídos | 02 quartos ,1.500
13, Vila Prudente - São Paulo Zona Leste - São Paulo , 84 m² construídos | 2 quartos ,1.800
14, 00 00 - Condomínio Jardim das Palmeiras - Bragança Paulista - São Paulo , 1000 m² totais ,35.000
15, Rua Pau Ferro 60 - Centro - Miguel Pereira - Rio de Janeiro , 137 m² construídos | 3 quartos ,795.000
16, Praia Grande - São Paulo , 200 m² construídos | 4 quartos ,590.000
17, Luis custodio do vale 344 - Balneário Praia Do Pernambuco - Guarujá - São Paulo , 150 m² construídos | 3 quartos ,60
18, Rua Ernesto Nista - Jardim Novo Campos Elíseos - Campinas - São Paulo , 55 m² construídos | 1 quarto ,600
19, Estrada Municipal Benedito Gabriel Machado SN 0 - Sorocabussu - Ibiúna - São Paulo , 500 m² construídos | 3 quartos ,1.000
20, Jardim Residencial Mont Blanc - Sorocaba - São Paulo , 331 m² construídos | 4 quartos ,2.190.000
21, Jardim Paraventi - Guarulhos - São Paulo , 50 m² construídos | 1 quarto ,850
22, Canto Do Forte - Praia Grande - São Paulo , 40 m² construídos | 2 quartos ,200.000
23, Jardim Ipê - São Bernardo do Campo - São Paulo , 70 m² construídos | 2 quartos ,1.100
24, Praia de Boracéia - Bertioga/SP - Praia De Boraceia - Bertioga - São Paulo , 172 m² construídos | 2 quartos ,236.000
25, Rua Professor Dário Ribeiro - Vila Prado - São Paulo Zona Norte - São Paulo , 30 m² construídos | 1 quarto ,550
26, ENOCH BARREIRA DE MACEDO 88 - Parque Tietê - São Paulo Zona Norte - São Paulo , 90 m² construídos | 1 quarto ,1.000
27, Granja Olga II - Sorocaba - São Paulo , 412 m² construídos | 4 quartos ,1.600.000
28, Av. Flácides Ferreira 11464 - Balneário Gaivota - Itanhaém - São Paulo , 80 m² construídos | 2 quartos ,125.000
29, Canto Do Forte - Praia Grande - São Paulo , 100 m² construídos | 4 quartos ,420.000
30, Demarchi - São Bernardo do Campo - São Paulo , 120 m² construídos | 3 quartos ,1.900
31, Praia Grande - São Paulo , 50 m² construídos | 2 quartos ,170.000
32, Rua Jácome Teles de Menezes - Jardim Penha - São Paulo Zona Leste - São Paulo , 80 m² construídos | 2 quartos ,1.200
33, Alameda Arara Canindé 51 - Balneario Flórida Mirim - Mongaguá - São Paulo , 85 m² construídos | 2 quartos ,120
34, Jardim Eltonville - Sorocaba - São Paulo , 545 m² construídos | 4 quartos ,2.500.000
35, Avenida Loth Bagunha Maldos - Jardim Do Golfe - São José dos Campos - São Paulo , 430 m² construídos | 4 quartos ,2.200.000
36, Maitinga - Bertioga - São Paulo , 600 m² construídos | 6 quartos ,1.800.000
37, Rua Professora Delfina de Freitas Gomes - Maria Paula - Niterói - Rio de Janeiro , 92 m² construídos | 2 quartos ,350.000
38, Praia de Boracéia - Bertioga/SP - Bertioga - São Paulo , 60 m² construídos | 3 quartos ,265.000
39, Rua Ati - Tanque - Rio de Janeiro Zona Oeste - Rio de Janeiro , 110 m² construídos | 2 quartos ,1.200
40," Rua 315, 115 - Itapema - Santa Catarina ", 172 m² construídos | 4 quartos ,1.690.000
41," Rua 408, 231 - Itapema - Santa Catarina ", 70 m² construídos | 2 quartos ,470.000
42, Av. Monteiro Lobato 10374 - Balneario Itaguai - Mongaguá - São Paulo , 80 m² construídos | 3 quartos ,200.000
43, Rua Quatro - Indaiatuba - São Paulo , 179 m² construídos | 3 quartos ,960.000
44, Rua Marginal 7058 - Luíza Mar Mirim - Itanhaém - São Paulo , 85 m² construídos | 1 quarto ,45.000
45, Rua Antônio Silvinho Suannes - Vila Oratório - São Paulo Zona Leste - São Paulo , 70 m² construídos | 2 quartos ,1.500
46, Condomínio Guaporé - Ribeirão Preto - São Paulo , 222 m² construídos | 3 quartos ,950.000
