,tamanho,quartos,valor,tipo_area,preco
677,6,1,299,1,0
450,16,1,800,1,0
435,20,1,1100,1,0
546,20,1,70000,1,0
683,20,1,100,1,0
717,20,1,500,1,0
1341,20,3,330000,1,5
402,21,1,900,1,0
312,22,1,1250,1,0
329,25,1,770,1,0
416,25,1,550,1,0
437,25,1,700,1,0
442,25,1,2980,1,0
448,25,2,680,1,0
502,25,3,400,1,0
967,25,1,450,1,0
428,29,1,150000,1,1
25,30,1,550,1,0
61,30,1,650,1,0
76,30,1,700,1,0
248,30,1,1250,1,0
259,30,1,800,1,0
272,30,1,900,1,0
293,30,1,1897,1,0
343,30,1,989,1,0
413,30,1,600,1,0
432,30,1,500,1,0
440,30,1,1900,1,0
444,30,1,950,1,0
463,30,1,600,1,0
539,30,1,450,1,0
561,30,1,90000,1,0
659,30,1,600,1,0
1127,30,1,1100,1,0
1697,30,1,1390,1,0
494,32,1,550,1,0
1614,33,1,90000,1,0
1398,34,1,1000,1,0
342,35,1,800,1,0
573,35,1,90000,1,0
666,35,1,550,1,0
1026,35,1,650,1,0
1070,35,2,189000,1,1
1174,35,1,225000,1,1
177,36,1,550,1,0
350,36,1,1700,1,0
439,36,1,1000,1,0
341,37,2,1891,1,0
982,37,1,125000,1,0
1,38,2,128000,1,1
6,39,2,121802,1,1
22,40,2,200000,1,1
197,40,1,660,1,0
239,40,1,700,1,0
307,40,1,800,1,0
309,40,1,1125,1,0
319,40,2,2000,1,0
321,40,2,1460,1,0
397,40,3,891,1,0
426,40,1,1800,1,0
466,40,1,500,1,0
476,40,1,1000,1,0
498,40,1,450,1,0
533,40,1,720,1,0
583,40,1,95000,1,0
601,40,1,70000,1,0
671,40,1,850,1,0
757,40,1,850,1,0
867,40,1,90000,1,0
1059,40,1,130000,1,0
1200,40,1,115000,1,0
1246,40,1,900,1,0
1633,40,2,840,1,0
0,41,2,122000,1,1
8,41,2,132984,1,1
10,41,2,139617,1,1
1627,41,1,139000,1,0
5,42,2,141900,1,1
9,42,2,143900,1,1
445,42,1,1096,1,0
694,42,2,180000,1,1
1335,42,2,297000,1,1
1686,42,1,950,1,0
700,43,2,209999,1,1
735,43,1,140000,1,0
1094,43,1,130000,1,0
563,44,2,145000,1,1
179,45,1,800,1,0
184,45,2,210000,1,1
287,45,1,1150,1,0
314,45,1,1400,1,0
362,45,1,1100,1,0
385,45,2,1300,1,0
396,45,1,800,1,0
424,45,1,1530,1,0
427,45,1,790,1,0
438,45,1,800,1,0
599,45,1,85000,1,0
624,45,2,170000,1,1
1452,45,1,115000,1,0
400,46,1,1100,1,0
1719,46,2,180000,1,1
858,47,2,1208,1,0
996,47,1,96000,1,0
1170,47,2,195000,1,1
348,48,2,1913,1,0
538,48,1,700,1,0
559,48,1,80,1,0
1507,48,2,235000,1,1
180,49,2,180000,1,1
181,49,1,260000,1,1
21,50,1,850,2,0
31,50,2,170000,2,1
83,50,2,165000,2,1
149,50,2,154000,2,1
213,50,1,950,2,0
224,50,1,800,2,0
225,50,1,850,2,0
258,50,2,1107,2,0
267,50,1,2700,2,0
294,50,1,1010,2,0
295,50,1,1120,2,0
305,50,2,1570,2,0
346,50,2,2200,2,0
368,50,2,1470,2,0
412,50,1,750,2,0
414,50,1,1040,2,0
419,50,1,650,2,0
429,50,1,1446,2,0
430,50,1,1150,2,0
481,50,1,654,2,0
548,50,1,130000,2,0
586,50,1,149,2,0
606,50,2,139000,2,1
615,50,1,820,2,0
678,50,1,85000,2,0
714,50,2,70000,2,0
731,50,2,155000,2,1
756,50,1,1250,2,0
800,50,1,180000,2,0
804,50,1,150000,2,0
845,50,1,160000,2,0
950,50,1,800,2,0
1084,50,2,155000,2,1
1191,50,2,155000,2,1
1436,50,2,139000,2,1
1471,50,2,240000,2,1
1479,50,2,319000,2,1
1552,50,2,98000,2,0
1901,50,2,155000,2,1
579,51,2,80000,2,0
608,51,2,99900,2,0
713,51,1,96000,2,0
849,51,2,169000,2,1
1822,51,2,1400,2,0
192,52,2,1300,2,0
407,52,1,730,2,0
1270,52,2,179000,2,1
52,53,2,160000,2,1
372,53,2,2400,2,0
1705,53,2,239000,2,1
1730,53,2,155000,2,1
1801,53,2,315000,2,1
107,54,2,150000,2,1
425,54,2,1300,2,0
1135,54,2,85000,2,0
1616,54,2,370,2,0
18,55,1,600,2,0
62,55,2,181500,2,1
168,55,2,195000,2,1
169,55,2,170000,2,1
171,55,2,195000,2,1
257,55,2,1350,2,0
262,55,2,1540,2,0
331,55,2,1300,2,0
410,55,1,1700,2,0
570,55,1,175000,2,0
594,55,2,70000,2,0
609,55,1,70000,2,0
895,55,2,210000,2,1
927,55,1,47000,2,0
1011,55,2,220000,2,1
1160,55,2,150000,2,1
1456,55,2,156000,2,1
1553,55,2,165000,2,1
1620,55,2,235000,2,1
1659,55,2,215000,2,1
198,56,2,156000,2,1
431,56,2,890,2,0
536,56,1,1000,2,0
1157,56,2,697000,2,2
1222,56,1,119000,2,0
1418,56,2,159900,2,1
1736,56,2,230000,2,1
1870,56,2,270000,2,1
232,57,2,1500,2,0
1808,57,2,295000,2,1
12,58,2,1500,2,0
60,58,2,190000,2,1
271,58,2,1200,2,0
451,58,1,1350,2,0
660,58,2,130000,2,0
1247,58,2,190000,2,1
1654,58,2,180000,2,1
1785,58,2,199000,2,1
1865,58,2,208000,2,1
1895,58,2,185000,2,1
406,59,1,1250,2,0
1548,59,2,190000,2,1
38,60,3,265000,2,1
118,60,2,272000,2,1
121,60,2,210000,2,1
125,60,2,310000,2,1
217,60,2,175000,2,1
228,60,2,160000,2,1
234,60,2,179000,2,1
238,60,2,1160,2,0
249,60,1,1200,2,0
260,60,2,900,2,0
265,60,3,750,2,0
266,60,2,1500,2,0
285,60,3,2499,2,0
289,60,2,980,2,0
291,60,2,1000,2,0
303,60,2,980,2,0
316,60,2,1820,2,0
330,60,2,1100,2,0
332,60,2,1200,2,0
336,60,2,1200,2,0
355,60,2,980,2,0
386,60,2,162900,2,1
399,60,1,900,2,0
525,60,2,65000,2,0
530,60,1,650,2,0
614,60,2,100,2,0
616,60,3,1000,2,0
618,60,2,150000,2,1
640,60,1,175000,2,0
654,60,2,250,2,0
663,60,2,150000,2,1
712,60,2,280000,2,1
729,60,2,150,2,0
742,60,2,300,2,0
796,60,2,99000,2,0
862,60,2,110000,2,0
880,60,2,300000,2,1
892,60,1,140000,2,0
905,60,2,210000,2,1
1007,60,2,1600,2,0
1019,60,2,1000,2,0
1037,60,2,140000,2,0
1042,60,1,190000,2,0
1047,60,2,1700,2,0
1085,60,2,1300,2,0
1092,60,2,250000,2,1
1150,60,1,1200,2,0
1166,60,2,75000,2,0
1272,60,2,225000,2,1
1306,60,2,270000,2,1
1342,60,2,49900,2,0
1392,60,2,220000,2,1
1477,60,1,115000,2,0
1501,60,2,1000,2,0
1588,60,2,165000,2,1
1605,60,2,135000,2,0
1610,60,2,240000,2,1
1746,60,1,95000,2,0
1874,60,2,178000,2,1
1881,60,2,350000,2,1
1896,60,1,85000,2,0
611,61,2,190000,2,1
721,61,2,225000,2,1
1404,61,2,350000,2,1
90,62,2,185000,2,1
276,62,2,1070,2,0
283,62,2,1980,2,0
723,62,2,110000,2,0
937,62,2,253000,2,1
946,62,2,240000,2,1
1091,62,2,129000,2,0
1110,62,2,210000,2,1
1499,62,2,224000,2,1
298,63,2,1893,2,0
580,63,2,140000,2,0
921,63,2,210000,2,1
938,63,2,254000,2,1
1053,63,2,340000,2,1
1357,63,2,173000,2,1
1663,63,2,195000,2,1
808,64,2,210000,2,1
908,64,2,250000,2,1
1029,64,2,140000,2,0
1118,64,2,199000,2,1
1463,64,2,200000,2,1
1469,64,2,155000,2,0
85,65,2,299000,2,1
88,65,2,175000,2,1
151,65,2,253000,2,1
173,65,1,1200,2,0
235,65,2,269000,2,1
297,65,2,1300,2,0
353,65,2,1292,2,0
622,65,2,35000,2,0
734,65,2,325000,2,1
764,65,2,140000,2,0
860,65,2,220000,2,1
873,65,2,169000,2,1
954,65,2,229000,2,1
1002,65,2,174000,2,1
1105,65,2,140000,2,0
1235,65,2,280000,2,1
1254,65,2,118,2,0
1363,65,2,35000,2,0
1491,65,2,280000,2,1
1533,65,2,160000,2,0
1538,65,2,200000,2,1
1625,65,2,285000,2,1
1745,65,2,345000,2,1
1794,65,2,220000,2,1
106,66,3,375000,2,2
652,66,2,200000,2,1
664,66,2,210000,2,1
941,66,2,298000,2,1
1227,66,3,340000,2,2
1359,66,2,350000,2,1
1394,66,2,304000,2,1
1816,66,2,285000,2,1
1077,67,2,373000,2,1
1098,67,2,195000,2,1
1646,67,2,265000,2,1
1889,67,2,200000,2,1
187,68,2,289000,2,1
221,68,2,200000,2,1
532,68,2,225000,2,1
851,68,2,240000,2,1
1018,68,2,279000,2,1
1496,68,2,210000,2,1
1669,68,2,176000,2,1
387,69,2,200000,2,1
643,69,2,265000,2,1
925,69,2,195000,2,1
1202,69,2,460000,2,1
1381,69,1,110000,2,0
1795,69,2,169000,2,0
23,70,2,1100,2,0
41,70,2,470000,2,1
45,70,2,1500,2,0
55,70,2,215000,2,1
65,70,2,190000,2,1
86,70,2,265000,2,1
108,70,2,200000,2,1
119,70,2,1600,2,0
128,70,2,1400,2,0
191,70,2,225000,2,1
201,70,3,298000,2,1
214,70,2,150000,2,0
246,70,3,200000,2,1
261,70,1,1204,2,0
263,70,2,220000,2,1
273,70,2,1080,2,0
278,70,2,1500,2,0
281,70,1,2000,2,0
290,70,2,1555,2,0
304,70,2,1000,2,0
308,70,2,990,2,0
325,70,1,1100,2,0
349,70,2,800,2,0
351,70,2,2700,2,0
359,70,2,2600,2,0
370,70,2,1070,2,0
391,70,2,3450,2,0
405,70,1,870,2,0
415,70,1,1700,2,0
421,70,2,2115,2,0
423,70,1,750,2,0
473,70,1,1000,2,0
496,70,2,900,2,0
499,70,2,850,2,0
501,70,1,600,2,0
542,70,2,284999,2,1
544,70,2,58000,2,0
564,70,2,180000,2,1
610,70,2,235000,2,1
639,70,1,900,2,0
668,70,2,65000,2,0
690,70,2,265000,2,1
702,70,2,235000,2,1
706,70,2,179900,2,1
710,70,2,320000,2,1
776,70,2,230000,2,1
785,70,2,1800,2,0
789,70,2,225000,2,1
801,70,3,185000,2,1
823,70,2,260000,2,1
841,70,2,210000,2,1
891,70,2,215000,2,1
899,70,2,195000,2,1
913,70,2,215000,2,1
990,70,2,260000,2,1
1021,70,2,1300,2,0
1143,70,2,225000,2,1
1168,70,2,319000,2,1
1178,70,2,190000,2,1
1242,70,2,239000,2,1
1276,70,2,238900,2,1
1321,70,2,150,2,0
1362,70,2,215000,2,1
1405,70,3,169900,2,1
1420,70,2,1450,2,0
1476,70,2,100000,2,0
1478,70,2,180000,2,1
1495,70,2,169000,2,0
1536,70,2,390000,2,1
1595,70,2,370000,2,1
1631,70,2,319000,2,1
1632,70,2,319000,2,1
1700,70,2,165000,2,0
1712,70,2,350000,2,1
1720,70,2,350000,2,1
1764,70,2,165000,2,0
1802,70,1,140000,2,0
1809,70,2,135000,2,0
1813,70,3,185000,2,1
1860,70,2,230000,2,1
1863,70,2,165000,2,0
1900,70,2,280000,2,1
1916,70,2,320000,2,1
360,71,2,1608,2,0
743,71,2,219000,2,1
1205,72,2,226000,2,1
1345,72,2,280000,2,1
1696,73,2,180000,2,0
117,74,2,80000,2,0
140,74,2,80000,2,0
388,74,2,950,2,0
1034,74,2,399000,2,1
