,localizacao,tamanho_quartos,valor
0, Rodovia AL-101 Norte - Jacarecica - Maceió - Alagoas , 700 m² construídos | 4 quartos ,3.000.000
1, Condomínio Aldebaran - Maceió - Alagoas , 1200 m² construídos | 4 quartos ,3.500.000
2, Condomínio Aldebaran - Maceió - Alagoas , 512 m² construídos | 4 quartos ,1.300.000
3, Condomínio Aldebaran - Maceió - Alagoas , 295 m² construídos | 4 quartos ,950.000
4," rua da praia, s/n, quadra 2, lote 1 bairro: lages alagoas, 0 - Porto de Pedras - Alagoas ", 900 m² construídos | 8 quartos ,10.000.000
5, Marechal Deodoro - Alagoas , 210 m² construídos | 3 quartos ,900.000
6, Maceió - Alagoas , 280 m² construídos | 4 quartos ,1.050.000
7, Planalto - Arapiraca - Alagoas , 4 quartos ,880.000
8," Rua sao tome, 161 - Baixão - Arapiraca - Alagoas ", 48 m² construídos | 2 quartos ,79.925
9," Rua projetada a, 174 - Canafístula - Arapiraca - Alagoas ", 93 m² construídos | 2 quartos ,87.222
10," Rua joão lucas farias pereira (projetada d), 160 - Jardim Esperança - Arapiraca - Alagoas ", 107 m² construídos | 2 quartos ,101.896
11," Rua antonio serafim da costa, 49 - Pilar - Alagoas ", 72 m² construídos | 1 quarto ,52.886
12," Rua amalia gonzaga lima, 553 - Baixa Grande - Arapiraca - Alagoas ", 45 m² construídos | 2 quartos ,114.019
13," R projetada h (vicente joventino silva), 151 - Boa Vista - Arapiraca - Alagoas ", 91 m² construídos | 2 quartos ,66.504
14," Rua g, 228 - Satuba - Alagoas ", 61 m² construídos | 3 quartos ,54.865
15," Rua projetada qd b, - Palmeira dos Índios - Alagoas ", 799 m² construídos | 1 quarto ,51.540
16," Rua antonio serafim costa, 04 - Pilar - Alagoas ", 85 m² construídos | 1 quarto ,64.287
17," R olivia cavalcante gama, 00059 - Boa Vista - Arapiraca - Alagoas ", 85 m² construídos | 1 quarto ,67.949
18," Estrada carroçável, 209 - Boa Vista - Arapiraca - Alagoas ", 83 m² construídos | 2 quartos ,65.631
19," Rua maria diva da silva, 509 - Cavaco - Arapiraca - Alagoas ", 127 m² construídos ,144.835
20," R projetada 1, 394 - Cavaco - Arapiraca - Alagoas ", 105 m² construídos | 2 quartos ,74.936
21," Rua alagoas, 515 - Itanhaém - São Paulo ", 72 m² construídos ,118.218
22, Maceió - Alagoas , 36 m² construídos | 1 quarto ,400
23, Antares - Maceió - Alagoas , 350 m² totais | 4 quartos ,850.000
24, Santa Amélia - Maceió - Alagoas , 300 m² totais | 4 quartos ,850.000
25, Serraria - Maceió - Alagoas , 120 m² totais | 3 quartos ,370.000
26, Barro Duro - Maceió - Alagoas , 496 m² construídos | 5 quartos ,1.200.000
27, Antares - Maceió - Alagoas , 60 m² totais | 2 quartos ,250.000
28, Feitosa - Maceió - Alagoas , 250 m² totais | 4 quartos ,500.000
29, Serraria - Maceió - Alagoas , 962 m² construídos | 4 quartos ,1.300.000
30, LOTEAMENTO ARQUIPELAGO DO SOL 08 - Barra de São Miguel - Alagoas , 618 m² construídos | 5 quartos ,2.700.000
31, Benedito Bentes - Maceió - Alagoas , 192 m² totais | 3 quartos ,160.000
32, Rua Pará - Maragogi - Alagoas , 60 m² construídos | 2 quartos ,100.000
33, Maceió - Alagoas , 240 m² totais | 6 quartos ,380.000
34, Gruta de Lourdes - Maceió - Alagoas , 533 m² construídos | 4 quartos ,1.657.500
35, Barra de São Miguel - Alagoas , 165 m² construídos | 3 quartos ,400.000
36, Rodovia AL-101 Norte - Maceió - Alagoas , 360 m² construídos | 4 quartos ,1.800.000
37, Quadra 43-44-45 - Antares - Maceió - Alagoas , 190 m² construídos | 3 quartos ,500.000
38, Rodovia AL-101 Norte - Jacarecica - Maceió - Alagoas , 660 m² construídos | 3 quartos ,3.200.000
39, Antares - Maceió - Alagoas , 154 m² construídos | 4 quartos ,490.000
40, Rua Eurico Acyole Wanderley - Gruta de Lourdes - Maceió - Alagoas , 347 m² construídos | 3 quartos ,720.000
41, Rua José Alfredo Marques - Antares - Maceió - Alagoas , 340 m² construídos | 4 quartos ,1.100.000
42, Antares - Maceió - Alagoas , 110 m² construídos | 3 quartos ,250.000
